"taxon","ELEMENT_GLOBAL_ID","indicator"
"Bryum pseudotriquetrum",833221,0
"Bryum pseudotriquetrum",899657,0
"Solenostoma gracillimum",689899,0
"Sphagnum papillosum",683072,0
"Sphagnum papillosum",684415,0
"Sphagnum papillosum",684747,0
"Sphagnum papillosum",688278,0
"Sphagnum papillosum",688846,0
"Sphagnum papillosum",689070,0
"Sphagnum papillosum",685339,0
"Sphagnum papillosum",685752,0
"Sphagnum papillosum",683438,0
"Sphagnum papillosum",731252,0
"Sphagnum papillosum",736386,0
"Sphagnum papillosum",856676,0
"Sphagnum papillosum",800140,0
"Sphagnum papillosum",689146,0
"Sphagnum papillosum",899571,0
"Sphagnum papillosum",1299043,0
"Polytrichum piliferum",683348,0
"Polytrichum piliferum",860408,0
"Polytrichum piliferum",685098,0
"Polytrichum piliferum",685487,0
"Polytrichum piliferum",685731,0
"Polytrichum piliferum",685918,0
"Polytrichum piliferum",689156,0
"Polytrichum piliferum",688606,0
"Polytrichum piliferum",689532,0
"Polytrichum piliferum",728583,0
"Polytrichum piliferum",729675,0
"Polytrichum piliferum",686595,0
"Polytrichum piliferum",728743,0
"Polytrichum piliferum",849164,0
"Polytrichum piliferum",860492,0
"Polytrichum piliferum",899158,0
"Polytrichum piliferum",899665,0
"Polytrichum piliferum",899279,0
"Polytrichum piliferum",899297,0
"Polytrichum piliferum",900073,0
"Polytrichum piliferum",931854,0
"Ptilidium pulcherrimum",688522,0
"Ptilidium pulcherrimum",688376,0
"Anthelia juratzkana",1041991,0
"Limprichtia revolvens",687808,0
"Limprichtia revolvens",689882,0
"Limprichtia revolvens",689508,0
"Limprichtia revolvens",1146920,0
"Limprichtia revolvens",741266,0
"Limprichtia revolvens",860745,0
"Limprichtia revolvens",893248,0
"Limprichtia revolvens",893245,0
"Limprichtia revolvens",948485,0
"Limprichtia revolvens",1361912,0
"Herbertus aduncus",777931,0
"Rhynchostegium aquaticum",688921,0
"Plagiomnium carolinianum",686958,0
"Rhynchostegium serrulatum",685735,0
"Drepanocladus revolvens",687808,0
"Drepanocladus revolvens",689882,0
"Drepanocladus revolvens",689508,0
"Drepanocladus revolvens",1146920,0
"Drepanocladus revolvens",948485,0
"Drepanocladus revolvens",1361912,0
"Steerecleus serrulatus",685735,0
"Steerecleus serrulatus",689899,0
"Fissidens cristatus",687924,0
