"acgenus","actaxon","acauth","taxon","auth"
"Frullania","Frullania acutata","Casp.","Frullania acutata","Casp."
"Saccogyna","Saccogyna subacuta","Steph.","Saccogyna subacuta","Steph."
"Heteroscyphus","Heteroscyphus spiniferus","C.Gao, T.Cao & Y.H.Wu","Heteroscyphus spiniferus","C.Gao, T.Cao & Y.H.Wu"
"Fossombronia","Fossombronia caespitiformis","(Raddi) De Not. ex Rabenh.","Fossombronia caespitiformis","(Raddi) De Not. ex Rabenh."
"Leptotheca","Leptotheca gaudichaudii","Schwägr.","Leptotheca gaudichaudii","Schwägr."
"Entosthodon","Entosthodon mouretii","(Corb.) Jelenc","Entosthodon mouretii","(Corb.) Jelenc"
"Kurzia","Kurzia trichoclados","(Müll.Frib.) Grolle","Kurzia trichoclados","(Müll.Frib.) Grolle"
"Weissia","Weissia sterilis","W.E.Nicholson","Weissia sterilis","W.E.Nicholson"
"Trilophozia","Trilophozia quinquedentata","(Huds.) Bakalin","Trilophozia quinquedentata","(Huds.) Bakalin"
"Plagiobryum","Plagiobryum demissum","(Hook.) Lindb.","Plagiobryum demissum","(Hook.) Lindb."
"Hymenostylium","Hymenostylium gracillimum","(Nees & Hornsch.) Köckinger & Jan Kučera","Hymenostylium gracillimum","(Nees & Hornsch.) Köckinger & Jan Kučera"
"Drepanolejeunea","Drepanolejeunea lichenicola","(Spruce) Steph.","Drepanolejeunea lichenicola","(Spruce) Steph."
"Schistidium","Schistidium holmenianum","Steere & Brassard","Schistidium holmenianum","Steere & Brassard"
"Sphagnum","Sphagnum trinitense","Müll.Hal.","Sphagnum trinitense","Müll.Hal."
"Jaffueliobryum","Jaffueliobryum latifolium","Thér.","Jaffueliobryum latifolium","Thér."
"Tortula","Tortula inermis","(Brid.) Mont.","Tortula inermis","(Brid.) Mont."
"Tuerckheimia","Tuerckheimia svihlae","(E.B.Bartram) R.H.Zander","Gymnostomum angustifolium","K.Saito"
"Kindbergia","Kindbergia oregana","(Sull.) Ochyra","Stokesiella oregana","(Sull.) H.Rob."
"Breutelia","Breutelia subtomentosa","(Hampe) A.Jaeger","Breutelia subtomentosa","(Hampe) A.Jaeger"
"Frullania","Frullania eboracensis","Lehm.","Frullania eboracensis","Lehm."
"Vinealobryum","Vinealobryum norrisii","(R.H.Zander) J.A.Jiménez & M.J.Cano","Didymodon norrisii","R.H.Zander"
"Haplocladium","Haplocladium microphyllum","(Sw. ex Hedw.) Broth.","Bryohaplocladium microphyllum","(Sw. ex Hedw.) R.Watan. & Z.Iwats."
"Radula","Radula brunnea","Steph.","Radula brunnea","Steph."
"Frullania","Frullania fulfordiae","S.Hatt.","Frullania fulfordiae","S.Hatt."
"Balantiopsis","Balantiopsis rosea","Berggr.","Balantiopsis rosea","Berggr."
"Isopterygium","Isopterygium pendulum","Dixon ex E.B.Bartram","Isopterygium pendulum","Dixon ex E.B.Bartram"
"Trematodon","Trematodon geniculatus","Matteri","Trematodon geniculatus","Matteri"
"Acroporium","Acroporium baviense","(Besch.) Broth.","Acroporium baviense","(Besch.) Broth."
"Polytrichastrum","Polytrichastrum papillatum","G.L.Sm.","Polytrichum papillatum","(G.L.Sm.) L.E.Anderson, H.A.Crum & W.R.Buck"
"Riccardia","Riccardia tamariscina","(Steph.) Schiffn.","Riccardia tamariscina","(Steph.) Schiffn."
"Taxithelium","Taxithelium kaernbachii","(Broth.) Broth.","Taxithelium kaernbachii","(Broth.) Broth."
"Lejeunea","Lejeunea smaragdina","Besch. & Spruce","Lejeunea smaragdina","Besch. & Spruce"
"Calypogeia","Calypogeia neesiana","(C.Massal. & Carestia) K.Mueller","Calypogeia neesiana","(C.Massal. & Carestia) K.Mueller"
"Sematophyllum","Sematophyllum aureoviride","(Müll.Hal.) Broth.","Sematophyllum aureoviride","(Müll.Hal.) Broth."
"Dendroceros","Dendroceros difficilis","Steph.","Dendroceros difficilis","Steph."
"Frullania","Frullania parvistipula","Steph.","Frullania parvistipula","Steph."
"Hyophila","Hyophila propagulifera","Broth.","Hyophila propagulifera","Broth."
"Anthoceros","Anthoceros fusiformis","Austin","Anthoceros stomatifer","Austin"
"Bucklandiella","Bucklandiella nitidula","(Cardot) Bedn.-Ochyra & Ochyra","Bucklandiella nitidula","(Cardot) Bedn.-Ochyra & Ochyra"
"Funaria","Funaria arctica","(Berggr.) Kindb.","Funaria hygrometrica var. arctica","Berggr."
"Porella","Porella canariensis","(F.Weber) Underw.","Porella canariensis","(F.Weber) Underw."
"Sematophyllum","Sematophyllum warmingii","(A.Jaeger) W.R.Buck","Sematophyllum warmingii","(A.Jaeger) W.R.Buck"
"Tayloria","Tayloria indica","Mitt.","Tayloria indica","Mitt."
"Kymatocalyx","Kymatocalyx dominicensis","(Spruce) Váňa","Kymatocalyx dominicensis","(Spruce) Váňa"
"Isopterygium","Isopterygium subleptoblastum","Müll.Hal. ex Besch.","Isopterygium subleptoblastum","Müll.Hal. ex Besch."
"Plagiochasma","Plagiochasma pterospermum","C.Massal.","Plagiochasma pterospermum","C.Massal."
"Glyphomitrium","Glyphomitrium acuminatum","Broth.","Glyphomitrium acuminatum","Broth."
"Orthotrichum","Orthotrichum cylindrocarpum","Lesq.","Orthotrichum tenellum var. coulteri","(Mitt.) Grout"
"Leptodontium","Leptodontium scaberrimum","Broth.","Leptodontium scaberrimum","Broth."
"Macromitrium","Macromitrium binsteadii","Dixon","Macromitrium binsteadii","Dixon"
"Radula","Radula fissifolia","Steph.","Radula fissifolia","Steph."
"Barbula","Barbula unguiculatula","Müll.Hal.","Barbula unguiculatula","Müll.Hal."
"Aloina","Aloina rigida var. rigida","","Aloina rigida var. rigida",""
"Dicranella","Dicranella amplexans","(Mitt.) A.Jaeger","Dicranella amplexans","(Mitt.) A.Jaeger"
"Lejeunea","Lejeunea helenae","Pearson","Lejeunea helenae","Pearson"
"Pleurochaete","Pleurochaete malacophylla","(Müll.Hal.) Broth.","Pleurochaete malacophylla","(Müll.Hal.) Broth."
"Rhynchostegium","Rhynchostegium cylindritheca","Dixon","Rhynchostegium cylindritheca","Dixon"
"Campylopus","Campylopus densicoma var. densicoma","","Campylopus densicoma var. densicoma",""
"Cryphaea","Cryphaea ovalifolia","(Müll.Hal.) A.Jaeger","Cryphaea ovalifolia","(Müll.Hal.) A.Jaeger"
"Lejeunea","Lejeunea primordialis","(Hook.f. & Taylor) Gottsche, Lindenb. & Nees","Lejeunea primordialis","(Hook.f. & Taylor) Gottsche, Lindenb. & Nees"
"Imbribryum","Imbribryum microchaeton","(Hampe) J.R.Spence","Imbribryum microchaeton","(Hampe) J.R.Spence"
"Sphagnum","Sphagnum rubellum","Wilson","Sphagnum capillaceum var. tenellum","(Schimp.) A.L.Andrews"
"Frullania","Frullania socotrana","Mitt.","Frullania socotrana","Mitt."
"Sematophyllum","Sematophyllum zuluense","(Sim) Magill","Sematophyllum zuluense","(Sim) Magill"
"Riccia","Riccia australis","Steph.","Riccia australis","Steph."
"Tetrastichium","Tetrastichium virens","(Cardot) S.P.Churchill","Tetrastichium virens","(Cardot) S.P.Churchill"
"Cryphidium","Cryphidium leucocoleum","(Mitt.) A.Jaeger","Cryphidium leucocoleum","(Mitt.) A.Jaeger"
"Scapania","Scapania scapanioides","(C.Massal.) Grolle","Scapania scapanioides","(C.Massal.) Grolle"
"Riccardia","Riccardia asperulata","R.M.Schust.","Riccardia asperulata","R.M.Schust."
"Lophocolea","Lophocolea fragrans ssp. fragrans","","Lophocolea fragrans ssp. fragrans",""
"Trachypodopsis","Trachypodopsis laxoalaris","Broth.","Trachypodopsis laxoalaris","Broth."
"Weissia","Weissia muhlenbergiana","(Sw.) W.D.Reese & B.A.E.Lemmon","Astomum nitidulum","(Müll.Hal.) Sull. & Lesq."
"Pohlia","Pohlia elongata var. greenii","(Brid.) A.J.Shaw","Pohlia gracilis","Hornsch."
"Gymnomitrion","Gymnomitrion strictum","(Berggr.) R.M.Schust.","Gymnomitrion strictum","(Berggr.) R.M.Schust."
"Sphagnum","Sphagnum luetzelburgii","H.K.G.Paul ex H.A.Crum","Sphagnum luetzelburgii","H.K.G.Paul ex H.A.Crum"
"Eurhynchium","Eurhynchium spiculosum","(Mitt.) A.Jaeger","Eurhynchium spiculosum","(Mitt.) A.Jaeger"
"Tortella","Tortella alpicola","Dixon","Tortella tortelloides","(S.W.Greene) H.Rob."
"Riccardia","Riccardia granulata","(Steph.) A.Evans","Riccardia granulata","(Steph.) A.Evans"
"Plagiochila","Plagiochila maximiliana","Gottsche","Plagiochila maximiliana","Gottsche"
"Scopelophila","Scopelophila ligulata","(Spruce) Spruce","Merceya ligulata var. bartramii","E.Bauer"
"Ditrichum","Ditrichum plagiacron","(Müll.Hal.) Kuntze","Ditrichum plagiacron","(Müll.Hal.) Kuntze"
"Leucoloma","Leucoloma delicatulum","Renauld","Leucoloma delicatulum","Renauld"
"Fossombronia","Fossombronia marindae","Perold","Fossombronia marindae","Perold"
"Plagiochila","Plagiochila usambarana","Steph.","Plagiochila usambarana","Steph."
"Frullania","Frullania chiapasana","Steph.","Frullania chiapasana","Steph."
"Barbula","Barbula lonchodonta","Müll.Hal.","Barbula lonchodonta","Müll.Hal."
"Weissia","Weissia inoperculata","(H.A.Crum) H.A.Crum, Steere & L.E.Anderson","Hymenostomum inoperculatum","H.A.Crum"
"Porotrichum","Porotrichum leucocaulon","Müll.Hal.","Porotrichum leucocaulon","Müll.Hal."
"Warnstorfia","Warnstorfia fluitans","(Hedw.) Loeske","Drepanocladus exannulatus var. falcifolius","(Renauld) Grout"
"Sematophyllum","Sematophyllum roridum","Mitt.","Sematophyllum roridum","Mitt."
"Tayloria","Tayloria rudolphiana","(Garov.) Bruch & Schimp.","Tayloria serrata var. flagellaris","(Brid.) Bruch & Schimp."
"Lepidopilum","Lepidopilum niveum","(Müll.Hal.) Kindb.","Lepidopilum niveum","(Müll.Hal.) Kindb."
"Fissidens","Fissidens daltoniaefolius","Müll.Hal.","Fissidens daltoniaefolius","Müll.Hal."
"Diplophyllum","Diplophyllum trollii","Grolle","Diplophyllum trollii","Grolle"
"Bazzania","Bazzania linearis","Herzog","Bazzania linearis","Herzog"
"Schistidium","Schistidium squamatulum","(Herzog) Ochyra & J.Muñoz","Schistidium squamatulum","(Herzog) Ochyra & J.Muñoz"
"Bazzania","Bazzania perfalcata","N.Kitag.","Bazzania perfalcata","N.Kitag."
"Syrrhopodon","Syrrhopodon teniolatus","L.T.Ellis","Syrrhopodon teniolatus","L.T.Ellis"
"Dendroceros","Dendroceros herasii","M.Infante","Dendroceros herasii","M.Infante"
"Cololejeunea","Cololejeunea takamakae","Tixier","Cololejeunea takamakae","Tixier"
"Stereodon","Stereodon callichrous ssp. japonicus","(Ando) Jan Kučera & Ignatov","Stereodon callichrous ssp. japonicus","(Ando) Jan Kučera & Ignatov"
"Orthotrichum","Orthotrichum pallens var. pallens","","Orthotrichum pallens var. pallens",""
"Molendoa","Molendoa corticola","Broth.","Molendoa corticola","Broth."
"Calymperes","Calymperes chamaeleontum","Müll.Hal.","Calymperes chamaeleontum","Müll.Hal."
"Leucoloma","Leucoloma ochrobasilare ssp. longifolium","(Thér.) La Farge","Leucoloma ochrobasilare ssp. longifolium","(Thér.) La Farge"
"Dicranella","Dicranella borbonica var. madagascariensis","Thér.","Dicranella borbonica var. madagascariensis","Thér."
"Dicranum","Dicranum morenoi","Müll.Hal.","Dicranum morenoi","Müll.Hal."
"Trichosteleum","Trichosteleum microcalyx","Renauld & Cardot","Trichosteleum microcalyx","Renauld & Cardot"
"Jungermannia","Jungermannia minima","Scop.","Jungermannia minima","Scop."
"Cyclodictyon","Cyclodictyon crassicaule","Broth.","Cyclodictyon crassicaule","Broth."
"Leucodon","Leucodon rutenbergii","Müll.Hal.","Leucodon rutenbergii","Müll.Hal."
"Marchantia","Marchantia rubribarba","Steph.","Marchantia rubribarba","Steph."
"Pohlia","Pohlia subcompactula","(Paris) Wijk & Margad.","Pohlia subcompactula","(Paris) Wijk & Margad."
"Lejeunea","Lejeunea emarginuliflora","Gottsche ex Steph.","Lejeunea emarginuliflora","Gottsche ex Steph."
"Frullania","Frullania debilis","Steph. ex S.Hatt.","Frullania debilis","Steph. ex S.Hatt."
"Plagiochila","Plagiochila weymouthiana","Steph.","Plagiochila weymouthiana","Steph."
"Atrichum","Atrichum oerstedianum","(Müll.Hal.) Mitt.","Atrichum paraphyllium","Wareham"
"Dicranella","Dicranella schreberiana","(Hedw.) Hilf. ex H.A.Crum & L.E.Anderson","Dicranella crispa","Lindb."
"Fontinalis","Fontinalis flaccida","Renauld & Cardot","Fontinalis denticulata","Kindb."
"Bazzania","Bazzania tricrenata","(Wahlenb.) Lindb.","Bazzania tricrenata","(Wahlenb.) Lindb."
"Campylostelium","Campylostelium saxicola","(F.Weber & D.Mohr) Bruch & Schimp.","Campylostelium saxicola","(F.Weber & D.Mohr) Bruch & Schimp."
"Anomodontella","Anomodontella longifolia","(Schleich. ex Brid.) Ignatov & Fedosov","Anomodontella longifolia","(Schleich. ex Brid.) Ignatov & Fedosov"
"Weissia","Weissia wilsonii","D.A.Callaghan","Weissia wilsonii","D.A.Callaghan"
"Gemmabryum","Gemmabryum dichotomum","(Hedw.) J.R.Spence & H.P.Ramsay","Bryum bicolor","Dicks."
"Renauldia","Renauldia patentissima","(Hampe) Broth.","Renauldia patentissima","(Hampe) Broth."
"Campylopus","Campylopus nivalis","(Brid.) Brid.","Campylopus chrismarii","(Müll.Hal.) Mitt."
"Dicranella","Dicranella glaziovii","(Hampe) Hampe","Dicranella glaziovii","(Hampe) Hampe"
"Denotarisia","Denotarisia linguifolia","(De Not.) Grolle","Denotarisia linguifolia","(De Not.) Grolle"
"Frullania","Frullania calcarifera","Steph.","Frullania calcarifera","Steph."
"Sphagnum","Sphagnum concinnum","(Berggr.) Flatberg","Sphagnum concinnum","(Berggr.) Flatberg"
"Cololejeunea","Cololejeunea marginata","(Lehm. & Lindenb.) Pearson","Cololejeunea marginata","(Lehm. & Lindenb.) Pearson"
"Trichosteleum","Trichosteleum sublongisetum","Tixier","Trichosteleum sublongisetum","Tixier"
"Timmiella","Timmiella anomala","(Bruch & Schimp.) Limpr.","Timmiella anomala","(Bruch & Schimp.) Limpr."
"Bryum","Bryum gamophyllum","Müll.Hal.","Bryum gamophyllum","Müll.Hal."
"Leucoloma","Leucoloma holstii","Broth.","Leucoloma holstii","Broth."
"Leucoloma","Leucoloma fuscifolium","Besch.","Leucoloma fuscifolium","Besch."
"Niphotrichum","Niphotrichum canescens ssp. canescens","","Racomitrium canescens var. canescens",""
"Frullania","Frullania serrata ssp. serrata","","Frullania serrata ssp. serrata",""
"Plagiochila","Plagiochila sciophila","Nees ex Lindenb.","Plagiochila acanthophylla","Gottsche"
"Fissidens","Fissidens ventricosus","Lesq.","Fissidens ventricosus","Lesq."
"Cephaloziella","Cephaloziella varians","(Gottsche) Steph.","Cephaloziella arctica","Bryhn & Douin"
"Acroporium","Acroporium angustum","(Broth.) Broth.","Acroporium angustum","(Broth.) Broth."
"Splachnobryum","Splachnobryum oorschotii","(Sande Lac.) Müll.Hal.","Splachnobryum oorschotii","(Sande Lac.) Müll.Hal."
"Cheilolejeunea","Cheilolejeunea montagnei","(Gottsche ex Mont.) R.M.Schust.","Cheilolejeunea montagnei","(Gottsche ex Mont.) R.M.Schust."
"Grimmia","Grimmia ramondii","(DC.) Margad.","Grimmia curvata","(Brid.) De Sloover"
"Catagonium","Catagonium emarginatum","S.H.Lin","Catagonium emarginatum","S.H.Lin"
"Frullanoides","Frullanoides densifolia","Raddi","Frullanoides densifolia","Raddi"
"Frullania","Frullania nobilis","Steph.","Frullania nobilis","Steph."
"Bryum","Bryum leptospeiron","Müll.Hal. ex Besch.","Bryum leptospeiron","Müll.Hal. ex Besch."
"Brachythecium","Brachythecium salebrosum","(Hoffm. ex F.Weber & D.Mohr) Schimp.","Brachythecium flexicaule","Renauld & Cardot"
"Pseudocryphaea","Pseudocryphaea domingensis","(Spreng.) W.R.Buck","Pseudocryphaea domingensis","(Spreng.) W.R.Buck"
"Riccia","Riccia handelii","Schiffn.","Riccia handelii","Schiffn."
"Lejeunea","Lejeunea glaucescens","Gottsche","Lejeunea glaucescens var. obsoleta","R.M.Schust."
"Rigodium","Rigodium tamarix","Müll.Hal.","Rigodium tamarix","Müll.Hal."
"Dilutineuron","Dilutineuron fasciculare","(Schrad. ex Hedw.) Bedn.-Ochyra, Sawicki, Ochyra, Szczecińska & Plášek","Codriophorus fascicularis","(Schrad. ex Hedw.) Bedn.-Ochyra & Ochyra"
"Meiothecium","Meiothecium stratosum","Mitt.","Meiothecium stratosum","Mitt."
"Homomallium","Homomallium yuennanense","Broth.","Homomallium yuennanense","Broth."
"Syzygiella","Syzygiella concreta","(Gottsche) Spruce","Syzygiella concreta","(Gottsche) Spruce"
"Archidium","Archidium donnellii","Austin","Archidium donnellii","Austin"
"Bucklandiella","Bucklandiella pycnotricha","(Müll.Hal.) Bedn.-Ochyra, Ochyra & Seppelt","Bucklandiella pycnotricha","(Müll.Hal.) Bedn.-Ochyra, Ochyra & Seppelt"
"Mironia","Mironia ehrenbergiana","(Müll.Hal.) R.H.Zander","Mironia ehrenbergiana","(Müll.Hal.) R.H.Zander"
"Vinealobryum","Vinealobryum brachyphyllum","(Sull.) R.H.Zander","Didymodon vinealis var. brachyphyllus","(Sull.) R.H.Zander"
"Pentastichella","Pentastichella pentasticha","(Mont.) Müll.Hal. ex Thér.","Pentastichella pentasticha","(Mont.) Müll.Hal. ex Thér."
"Ectropothecium","Ectropothecium anisophyllum","Broth.","Ectropothecium anisophyllum","Broth."
"Andreaea","Andreaea tsaratananae","Thér.","Andreaea tsaratananae","Thér."
"Bucklandiella","Bucklandiella microcarpos","(Hedw.) Bedn.-Ochyra & Ochyra","Racomitrium heterostichum var. microcarpon","(Hedw.) Boulay"
"Riccardia","Riccardia planiflora","(Steph.) S.Hatt.","Riccardia planiflora","(Steph.) S.Hatt."
"Hypnella","Hypnella ambrosia","M.A.Lewis & B.H.Allen","Hypnella ambrosia","M.A.Lewis & B.H.Allen"
"Frullanoides","Frullanoides mexicana","van Slageren","Frullanoides mexicana","van Slageren"
"Entodon","Entodon curvatirameus","Cardot","Entodon curvatirameus","Cardot"
"Campylopus","Campylopus taiwanensis","Sakurai","Campylopus taiwanensis","Sakurai"
"Entosthodon","Entosthodon chiloensis","Mitt.","Entosthodon chiloensis","Mitt."
"Camptochaete","Camptochaete leichhardtii","(A.Jaeger) Broth.","Camptochaete leichhardtii","(A.Jaeger) Broth."
"Heteroscyphus","Heteroscyphus planiusculus","(Hook.f. & Taylor) J.J.Engel","Heteroscyphus planiusculus","(Hook.f. & Taylor) J.J.Engel"
"Neolepidozia","Neolepidozia patentissima","(Hook.f. & Taylor) E.D.Cooper","Neolepidozia patentissima","(Hook.f. & Taylor) E.D.Cooper"
"Schistidium","Schistidium heterophyllum","(Kindb.) T.T.McIntosh","Schistidium heterophyllum","(Kindb.) T.T.McIntosh"
"Vesicularia","Vesicularia subenervis","(Mitt.) Broth.","Vesicularia subenervis","(Mitt.) Broth."
"Brachythecium","Brachythecium extremiorientale","Ignatov","Brachythecium extremiorientale","Ignatov"
"Fissidens","Fissidens pellucidus var. papillifer","(Broth.) Pursell","Fissidens pellucidus var. papillifer","(Broth.) Pursell"
"Kurzia","Kurzia flagellifera","(Steph.) Grolle","Kurzia flagellifera","(Steph.) Grolle"
"Colura","Colura stotleri","J.C.Benavides, L.V.Campos & Uribe","Colura stotleri","J.C.Benavides, L.V.Campos & Uribe"
"Lejeunea","Lejeunea galeata","Spruce","Lejeunea galeata","Spruce"
"Dicranum","Dicranum tubulifolium","Ireland","Dicranum tubulifolium","Ireland"
"Philonotis","Philonotis aristifolia","E.B.Bartram","Philonotis aristifolia","E.B.Bartram"
"Touwia","Touwia elliptica","(Bosch & Sande Lac.) S.Olsson, Enroth & D.Quandt","Touwia elliptica","(Bosch & Sande Lac.) S.Olsson, Enroth & D.Quandt"
"Porella","Porella subdentata var. subdentata","","Porella subdentata var. subdentata",""
"Tortula","Tortula truncata","(Hedw.) Mitt.","Pottia truncata","(Hedw.) Fuernr."
"Anomobryum","Anomobryum ochii","T.J.Kop. & D.H.Norris","Anomobryum ochii","T.J.Kop. & D.H.Norris"
"Bryum","Bryum fuscotomentosum","Demaret & V.Leroy bis","Bryum fuscotomentosum","Demaret & V.Leroy bis"
"Anacamptodon","Anacamptodon minimus","W.R.Buck","Anacamptodon minimus","W.R.Buck"
"Pleuridium","Pleuridium subulatum","(Hedw.) Rabenh.","Pleuridium subulatum","(Hedw.) Lindb."
"Vesicularia","Vesicularia immunda","(Renauld) Cardot","Vesicularia immunda","(Renauld) Cardot"
"Riccardia","Riccardia plana var. minor","(Pearson) Hürl. ex H.A.Mill., H.Whittier & B.Whittier","Riccardia plana var. minor","(Pearson) Hürl. ex H.A.Mill., H.Whittier & B.Whittier"
"Schistidium","Schistidium australiense","Ochyra","Schistidium australiense","Ochyra"
"Lophozia","Lophozia lantratovae","Bakalin","Lophozia lantratovae","Bakalin"
"Sphagnum","Sphagnum quinquefarium","(Lindb.) Warnst.","Sphagnum schofieldii","H.A.Crum"
"Ptychostomum","Ptychostomum kerguelense","(Mitt.) Ochyra & Bedn.-Ochyra","Ptychostomum kerguelense","(Mitt.) Ochyra & Bedn.-Ochyra"
"Bryum","Bryum macrodictyum","Warnst.","Bryum macrodictyum","Warnst."
"Dicranella","Dicranella austrosinensis","Herzog & Dixon","Dicranella austrosinensis","Herzog & Dixon"
"Platyhypnidium","Platyhypnidium riparoides","(Hedw.) Dix.","Platyhypnidium riparoides","(Hedw.) Dix."
"Bazzania","Bazzania kernii","Steph.","Bazzania kernii","Steph."
"Fissidens","Fissidens pellucidus","Hornsch.","Fissidens rufulus","Sull."
"Meiothecium","Meiothecium serrulatum","Dixon","Meiothecium serrulatum","Dixon"
"Cephalozia","Cephalozia mollusca","(De Not.) Váňa","Cephalozia mollusca","(De Not.) Váňa"
"Gymnostomum","Gymnostomum laxirete","(Broth.) P.C.Chen","Gymnostomum laxirete","(Broth.) P.C.Chen"
"Leucodon","Leucodon temperatus","H.Akiyama","Leucodon temperatus","H.Akiyama"
"Ephemerum","Ephemerum conicum","Müll.Hal.","Ephemerum conicum","Müll.Hal."
"Distichophyllum","Distichophyllum nadeaudii","Besch.","Distichophyllum nadeaudii","Besch."
"Leskeodon","Leskeodon longicaulis","Broth.","Leskeodon longicaulis","Broth."
"Macromitrium","Macromitrium cuspidatum var. gracile","Dixon ex E.B.Bartram","Macromitrium cuspidatum var. gracile","Dixon ex E.B.Bartram"
"Cololejeunea","Cololejeunea micro-androecia","(Spruce) Schiffner ex Mizut.","Cololejeunea micro-androecia","(Spruce) Schiffner ex Mizut."
"Andreaea","Andreaea dissitifolia","Broth.","Andreaea dissitifolia","Broth."
"Rhizomnium","Rhizomnium pseudopunctatum","(Bruch & Schimp.) T.J.Kop.","Mnium subglobosum","Br.Eur."
"Frullania","Frullania pallidula","S.Hatt.","Frullania pallidula","S.Hatt."
"Saitobryum","Saitobryum pascoense","M.J.Cano & J.A.Jiménez","Saitobryum pascoense","M.J.Cano & J.A.Jiménez"
"Cololejeunea","Cololejeunea capuronii","Tixier","Cololejeunea capuronii","Tixier"
"Entodontopsis","Entodontopsis rhynchostegioides","(Broth. & Paris) W.R.Buck & Ireland","Entodontopsis rhynchostegioides","(Broth. & Paris) W.R.Buck & Ireland"
"Fissidens","Fissidens closteri ssp. closteri","","Fissidens closteri ssp. closteri",""
"Trichostomum","Trichostomum imshaugii","(Vitt) R.H.Zander","Trichostomum imshaugii","(Vitt) R.H.Zander"
"Ectropothecium","Ectropothecium serratum","Herzog","Ectropothecium serratum","Herzog"
"Holomitrium","Holomitrium aristatum","Herzog","Holomitrium aristatum","Herzog"
"Breutelia","Breutelia guilielmi-meyeri","J.Froehl.","Breutelia guilielmi-meyeri","J.Froehl."
